Model,Variable,LRT Statistic,P-value
Linear Mixed Model,PC_1,2139.4984617414975,0.0
Linear Mixed Model,PC_2,44.21458962363931,2.942797997162345e-11
Linear Mixed Model,PC_3,430.6924376882753,1.1486277899969161e-95
Linear Mixed Model,PC_4,632.5063100012385,1.4247005672482893e-139
Linear Mixed Model,PC_5,36.58723152473249,1.4598483125408286e-09
Linear Mixed Model,PC_6,8.806552197664132,0.003001506836567912
Linear Mixed Model,PC_7,104.71095072986645,1.413178618857046e-24
Linear Mixed Model,PC_8,75.86723823398734,3.0339223549711388e-18
Linear Mixed Model,PC_9,49.16346851187518,2.354958472692496e-12
Linear Mixed Model,PC_10,2.916307553228762,0.08768831174802004
Linear Mixed Model,PC_11,318.0593709703917,3.833683162620364e-71
Linear Mixed Model,PC_12,196.55678297285476,1.1782863354779931e-44
Linear Mixed Model,Dislike,-1.0671582389641117,1.0
Linear Mixed Model,Like,-6.914325413541064,1.0
Linear Mixed Model,Share,-2.7401807466349055,1.0
Linear Mixed Model,Flag,-2.873506511942651,1.0
Logistic GLM,PC_1,582.5540428074414,1.0435818617517414e-128
Logistic GLM,PC_2,1.625444223658449e-10,0.9999898275375075
Logistic GLM,PC_3,4.0740522067652926e-10,0.9999838952734015
Logistic GLM,PC_4,,
Logistic GLM,PC_5,1.0485521340204616e-09,0.9999741634170092
Logistic GLM,PC_6,1.0736005418188465e-09,0.9999738566388484
Logistic GLM,PC_7,7.169074223509642e-10,0.9999786365396081
Logistic GLM,PC_8,6.364069271700464e-10,0.9999798716808197
Logistic GLM,PC_9,1.3400234255715143e-09,0.9999707923741503
Logistic GLM,PC_10,2.8027091759313424e-10,0.9999866423801618
Logistic GLM,PC_11,1.3368222084981776e-09,0.9999708272824425
Logistic GLM,PC_12,1.6003316450102945e-09,0.9999680813100673
Logistic GLM,Dislike,-5.520028878609986e-13,1.0
Logistic GLM,Like,1.0712986054551695e-11,0.9999973884681232
Logistic GLM,Share,2.817079902619352e-12,0.9999986608178741
Logistic GLM,Flag,3.3104630148678236e-12,0.9999985482747468
